"ORF","GENE","GO set","GO term","GO ID","order"
"YGR191W","HIP1","P","amino acid transport","GO:0006865","a"
"YOR130C","ORT1","P","amino acid transport","GO:0006865","a"
"YEL062W","NPR2","P","amino acid transport","GO:0006865","a"
"YPL265W","DIP5","P","amino acid transport","GO:0006865","a"
"YCR075C","ERS1","P","amino acid transport","GO:0006865","a"
"YBR147W","RTC2","P","amino acid transport","GO:0006865","a"
"YIL088C","AVT7","P","amino acid transport","GO:0006865","a"
"YER119C","AVT6","P","amino acid transport","GO:0006865","a"
"YDR046C","BAP3","P","amino acid transport","GO:0006865","a"
"YKR105C","VBA5","P","amino acid transport","GO:0006865","a"
"YNL065W","AQR1","P","amino acid transport","GO:0006865","a"
"YGR055W","MUP1","P","amino acid transport","GO:0006865","a"
"YBR068C","BAP2","P","amino acid transport","GO:0006865","a"
"YNL268W","LYP1","P","amino acid transport","GO:0006865","a"
"YCL069W","VBA3","P","amino acid transport","GO:0006865","a"
"YCR027C","RHB1","P","amino acid transport","GO:0006865","a"
"YFL055W","AGP3","P","amino acid transport","GO:0006865","a"
"YOL092W","YPQ1","P","amino acid transport","GO:0006865","a"
"YFL010W-A","AUA1","P","amino acid transport","GO:0006865","a"
"YGR142W","BTN2","P","amino acid transport","GO:0006865","a"
"YKR039W","GAP1","P","amino acid transport","GO:0006865","a"
"YDL119C","HEM25","P","amino acid transport","GO:0006865","a"
"YDR508C","GNP1","P","amino acid transport","GO:0006865","a"
"YPR021C","AGC1","P","amino acid transport","GO:0006865","a"
"YDL210W","UGA4","P","amino acid transport","GO:0006865","a"
"YBR069C","TAT1","P","amino acid transport","GO:0006865","a"
"YOR348C","PUT4","P","amino acid transport","GO:0006865","a"
"YDR352W","YPQ2","P","amino acid transport","GO:0006865","a"
"YNL101W","AVT4","P","amino acid transport","GO:0006865","a"
"YNL270C","ALP1","P","amino acid transport","GO:0006865","a"
"YHL036W","MUP3","P","amino acid transport","GO:0006865","a"
"YOL020W","TAT2","P","amino acid transport","GO:0006865","a"
"YJR001W","AVT1","P","amino acid transport","GO:0006865","a"
"YEL063C","CAN1","P","amino acid transport","GO:0006865","a"
"YJL059W","YHC3","P","amino acid transport","GO:0006865","a"
"YBR293W","VBA2","P","amino acid transport","GO:0006865","a"
"YPR058W","YMC1","P","amino acid transport","GO:0006865","a"
"YCL038C","ATG22","P","amino acid transport","GO:0006865","a"
"YCL025C","AGP1","P","amino acid transport","GO:0006865","a"
"YLL055W","YCT1","P","amino acid transport","GO:0006865","a"
"YMR088C","VBA1","P","amino acid transport","GO:0006865","a"
"YKL146W","AVT3","P","amino acid transport","GO:0006865","a"
"YGL015C","YGL015C","P","biological_process","GO:0008150","g"
"YEL025C","YEL025C","P","biological_process","GO:0008150","g"
"YLR064W","PER33","P","biological_process","GO:0008150","g"
"YER158W-A","YER158W-A","P","biological_process","GO:0008150","g"
"YML047W-A","YML047W-A","P","biological_process","GO:0008150","g"
"YBR062C","YBR062C","P","biological_process","GO:0008150","g"
"YGR022C","YGR022C","P","biological_process","GO:0008150","g"
"YHR071C-A","YHR071C-A","P","biological_process","GO:0008150","g"
"YBL044W","YBL044W","P","biological_process","GO:0008150","g"
"YLR146W-A","YLR146W-A","P","biological_process","GO:0008150","g"
"YLR427W","MAG2","P","biological_process","GO:0008150","g"
"RUF23","RUF23","P","biological_process","GO:0008150","g"
