"ORF","GENE","GO set","GO term","GO ID","order"
"YMR206W","YMR206W","P","biological_process","GO:0008150","g"
"YOL024W","YOL024W","P","biological_process","GO:0008150","g"
"YBR052C","RFS1","P","biological_process","GO:0008150","g"
"YFL015W-A","YFL015W-A","P","biological_process","GO:0008150","g"
"YGR237C","YGR237C","P","biological_process","GO:0008150","g"
"YLR466C-B","YLR466C-B","P","biological_process","GO:0008150","g"
"YER134C","YER134C","P","biological_process","GO:0008150","g"
"YCR004C","YCP4","P","biological_process","GO:0008150","g"
"YER039C-A","YER039C-A","P","biological_process","GO:0008150","g"
"YBR287W","YBR287W","P","biological_process","GO:0008150","g"
"YIL058W","YIL058W","P","biological_process","GO:0008150","g"
"YLR349W","YLR349W","P","biological_process","GO:0008150","g"
"YKL102C","YKL102C","P","biological_process","GO:0008150","g"
"YBR292C","YBR292C","P","biological_process","GO:0008150","g"
"YBL071C-B","YBL071C-B","P","biological_process","GO:0008150","g"
"YAR066W","YAR066W","P","biological_process","GO:0008150","g"
"YOR029W","YOR029W","P","biological_process","GO:0008150","g"
"YBL039C-A","YBL039C-A","P","biological_process","GO:0008150","g"
"YPR014C","YPR014C","P","biological_process","GO:0008150","g"
"YDR535C","YDR535C","P","biological_process","GO:0008150","g"
"YNL130C-A","DGR1","P","biological_process","GO:0008150","g"
"YMR294W-A","YMR294W-A","P","biological_process","GO:0008150","g"
"YGL261C","PAU11","P","biological_process","GO:0008150","g"
"YPR053C","YPR053C","P","biological_process","GO:0008150","g"
"YLR157W-D","YLR157W-D","P","biological_process","GO:0008150","g"
"YGR050C","YGR050C","P","biological_process","GO:0008150","g"
"RUF22","RUF22","P","biological_process","GO:0008150","g"
"YHR033W","YHR033W","P","biological_process","GO:0008150","g"
"RUF21","RUF21","P","biological_process","GO:0008150","g"
"YGL165C","YGL165C","P","biological_process","GO:0008150","g"
"YMR304C-A","YMR304C-A","P","biological_process","GO:0008150","g"
"YIL158W","AIM20","P","biological_process","GO:0008150","g"
"YBL043W","ECM13","P","biological_process","GO:0008150","g"
"YOL134C","YOL134C","P","biological_process","GO:0008150","g"
"YCL012C","YCL012C","P","biological_process","GO:0008150","g"
"YBR051W","YBR051W","P","biological_process","GO:0008150","g"
"YJR018W","YJR018W","P","biological_process","GO:0008150","g"
"YER080W","AIM9","P","biological_process","GO:0008150","g"
"YBR047W","FMP23","P","biological_process","GO:0008150","g"
"YGL182C","YGL182C","P","biological_process","GO:0008150","g"
"YDR524C-A","YDR524C-A","P","biological_process","GO:0008150","g"
"YLR076C","YLR076C","P","biological_process","GO:0008150","g"
"YKL023C-A","YKL023C-A","P","biological_process","GO:0008150","g"
"YAR069C","YAR069C","P","biological_process","GO:0008150","g"
"YBR131C-A","YBR131C-A","P","biological_process","GO:0008150","g"
"YBR201C-A","YBR201C-A","P","biological_process","GO:0008150","g"
"YHR022C","YHR022C","P","biological_process","GO:0008150","g"
"YDR290W","YDR290W","P","biological_process","GO:0008150","g"
"YCL028W","RNQ1","P","biological_process","GO:0008150","g"
"Q0032","Q0032","P","biological_process","GO:0008150","g"
"YLR225C","YLR225C","P","biological_process","GO:0008150","g"
"YPR203W","YPR203W","P","biological_process","GO:0008150","g"
"YOR215C","AIM41","P","biological_process","GO:0008150","g"
"YGR049W","SCM4","P","biological_process","GO:0008150","g"
"YBR182C-A","YBR182C-A","P","biological_process","GO:0008150","g"
"YPR089W","YPR089W","P","biological_process","GO:0008150","g"
"YML056C","IMD4","P","biological_process","GO:0008150","g"
"YER093C-A","AIM11","P","biological_process","GO:0008150","g"
"Q0017","Q0017","P","biological_process","GO:0008150","g"
"YNR076W","PAU6","P","biological_process","GO:0008150","g"
"YAL064W-B","YAL064W-B","P","biological_process","GO:0008150","g"
"Q0182","Q0182","P","biological_process","GO:0008150","g"
"YER152W-A","YER152W-A","P","biological_process","GO:0008150","g"
"YBR219C","YBR219C","P","biological_process","GO:0008150","g"
"YDR360W","OPI7","P","biological_process","GO:0008150","g"
"YDR203W","YDR203W","P","biological_process","GO:0008150","g"
"YBR197C","YBR197C","P","biological_process","GO:0008150","g"
"YAL045C","YAL045C","P","biological_process","GO:0008150","g"
"YLL019W-A","YLL019W-A","P","biological_process","GO:0008150","g"
"YDR250C","YDR250C","P","biological_process","GO:0008150","g"
"YOL155W-A","YOL155W-A","P","biological_process","GO:0008150","g"
"YDR381C-A","YDR381C-A","P","biological_process","GO:0008150","g"
"YNR069C","BSC5","P","biological_process","GO:0008150","g"
"YBR012C","YBR012C","P","biological_process","GO:0008150","g"
"YPR204C-A","YPR204C-A","P","biological_process","GO:0008150","g"
"YIL043C","CBR1","P","biological_process","GO:0008150","g"
"YPR170W-A","YPR170W-A","P","biological_process","GO:0008150","g"
"YDR406W-A","YDR406W-A","P","biological_process","GO:0008150","g"
"YFL012W-A","YFL012W-A","P","biological_process","GO:0008150","g"
"YDR524C-B","YDR524C-B","P","biological_process","GO:0008150","g"
"YHL017W","YHL017W","P","biological_process","GO:0008150","g"
"YMR010W","ANY1","P","biological_process","GO:0008150","g"
"YHL050W-A","YHL050W-A","P","biological_process","GO:0008150","g"
"YNL018C","YNL018C","P","biological_process","GO:0008150","g"
"YLL020C","YLL020C","P","biological_process","GO:0008150","g"
"Q0075","AI5_BETA","P","biological_process","GO:0008150","g"
"YPR202W","YPR202W","P","biological_process","GO:0008150","g"
"YDR344C","YDR344C","P","biological_process","GO:0008150","g"
"YHL030W-A","YHL030W-A","P","biological_process","GO:0008150","g"
"YDR401W","YDR401W","P","biological_process","GO:0008150","g"
"YOR291W","YPK9","P","biological_process","GO:0008150","g"
"YDR133C","YDR133C","P","biological_process","GO:0008150","g"
"YJL197W","UBP12","P","biological_process","GO:0008150","g"
"YAL067W-A","YAL067W-A","P","biological_process","GO:0008150","g"
"YNL114C","YNL114C","P","biological_process","GO:0008150","g"
"YMR046W-A","YMR046W-A","P","biological_process","GO:0008150","g"
"YOR392W","YOR392W","P","biological_process","GO:0008150","g"
"YOL107W","YOL107W","P","biological_process","GO:0008150","g"
"YOR394C-A","YOR394C-A","P","biological_process","GO:0008150","g"
"YGL176C","YGL176C","P","biological_process","GO:0008150","g"
"YIR023C-A","YIR023C-A","P","biological_process","GO:0008150","g"
"YDR521W","YDR521W","P","biological_process","GO:0008150","g"
"YOR082C","YOR082C","P","biological_process","GO:0008150","g"
"YAR020C","PAU7","P","biological_process","GO:0008150","g"
"YDR286C","YDR286C","P","biological_process","GO:0008150","g"
"YBL036C","YBL036C","P","biological_process","GO:0008150","g"
"YFL032W","YFL032W","P","biological_process","GO:0008150","g"
"YBR056W","YBR056W","P","biological_process","GO:0008150","g"
"YLR374C","YLR374C","P","biological_process","GO:0008150","g"
"YKL098W","MTC2","P","biological_process","GO:0008150","g"
"Q0060","AI3","P","biological_process","GO:0008150","g"
"YEL035C","UTR5","P","biological_process","GO:0008150","g"
"YAL016C-B","YAL016C-B","P","biological_process","GO:0008150","g"
"YER087W","AIM10","P","biological_process","GO:0008150","g"
"YDL114W-A","YDL114W-A","P","biological_process","GO:0008150","g"
"YHL014C","YLF2","P","biological_process","GO:0008150","g"
"YDR525W","API2","P","biological_process","GO:0008150","g"
"YBR200W-A","YBR200W-A","P","biological_process","GO:0008150","g"
"YAR027W","UIP3","P","biological_process","GO:0008150","g"
"YLR187W","SKG3","P","biological_process","GO:0008150","g"
"YKL023W","YKL023W","P","biological_process","GO:0008150","g"
"YLR112W","YLR112W","P","biological_process","GO:0008150","g"
"YOL161C","PAU20","P","biological_process","GO:0008150","g"
"YBR209W","YBR209W","P","biological_process","GO:0008150","g"
"YKL183C-A","YKL183C-A","P","biological_process","GO:0008150","g"
"YAR070C","YAR070C","P","biological_process","GO:0008150","g"
"YER090C-A","YER090C-A","P","biological_process","GO:0008150","g"
"YAR075W","YAR075W","P","biological_process","GO:0008150","g"
"YLR012C","YLR012C","P","biological_process","GO:0008150","g"
"YMR252C","YMR252C","P","biological_process","GO:0008150","g"
"YBL001C","ECM15","P","biological_process","GO:0008150","g"
"YDR340W","YDR340W","P","biological_process","GO:0008150","g"
"YDL247W-A","YDL247W-A","P","biological_process","GO:0008150","g"
"YHR017W","YSC83","P","biological_process","GO:0008150","g"
"Q0142","Q0142","P","biological_process","GO:0008150","g"
"YJL123C","MTC1","P","biological_process","GO:0008150","g"
"YML002W","YML002W","P","biological_process","GO:0008150","g"
"RUF20","RUF20","P","biological_process","GO:0008150","g"
"YAL042C-A","YAL042C-A","P","biological_process","GO:0008150","g"
"YPL025C","YPL025C","P","biological_process","GO:0008150","g"
"YGL149W","YGL149W","P","biological_process","GO:0008150","g"
"YER078W-A","YER078W-A","P","biological_process","GO:0008150","g"
"YOR314W","YOR314W","P","biological_process","GO:0008150","g"
"YOR314W-A","YOR314W-A","P","biological_process","GO:0008150","g"
"YKL147C","YKL147C","P","biological_process","GO:0008150","g"
"YBR096W","YBR096W","P","biological_process","GO:0008150","g"
"YLR255C","YLR255C","P","biological_process","GO:0008150","g"
"YLR152C","YLR152C","P","biological_process","GO:0008150","g"
"YMR066W","SOV1","P","biological_process","GO:0008150","g"
"YBR056W-A","YBR056W-A","P","biological_process","GO:0008150","g"
"YMR315W-A","YMR315W-A","P","biological_process","GO:0008150","g"
"YDR248C","YDR248C","P","biological_process","GO:0008150","g"
"YAL016C-A","YAL016C-A","P","biological_process","GO:0008150","g"
"YPR159C-A","YPR159C-A","P","biological_process","GO:0008150","g"
"YCL007C","YCL007C","P","biological_process","GO:0008150","g"
"YAR047C","YAR047C","P","biological_process","GO:0008150","g"
"YIL164C","NIT1","P","biological_process","GO:0008150","g"
"YLR162W-A","RRT15","P","biological_process","GO:0008150","g"
"YIR016W","YIR016W","P","biological_process","GO:0008150","g"
"YIL067C","YIL067C","P","biological_process","GO:0008150","g"
"YBL029W","YBL029W","P","biological_process","GO:0008150","g"
"YHR202W","YHR202W","P","biological_process","GO:0008150","g"
"YNL184C","YNL184C","P","biological_process","GO:0008150","g"
"YOR161C-C","YOR161C-C","P","biological_process","GO:0008150","g"
"YER119C-A","YER119C-A","P","biological_process","GO:0008150","g"
"YKL053W","YKL053W","P","biological_process","GO:0008150","g"
"YER004W","FMP52","P","biological_process","GO:0008150","g"
"YEL010W","YEL010W","P","biological_process","GO:0008150","g"
"YIL130W","ASG1","P","biological_process","GO:0008150","g"
"YKL066W","YKL066W","P","biological_process","GO:0008150","g"
"YER130C","COM2","P","biological_process","GO:0008150","g"
"YOR118W","RTC5","P","biological_process","GO:0008150","g"
"YCR099C","YCR099C","P","biological_process","GO:0008150","g"
"YJL152W","YJL152W","P","biological_process","GO:0008150","g"
"YIL086C","YIL086C","P","biological_process","GO:0008150","g"
"YOR389W","YOR389W","P","biological_process","GO:0008150","g"
"YAL069W","YAL069W","P","biological_process","GO:0008150","g"
"YGR201C","YGR201C","P","biological_process","GO:0008150","g"
"YNL319W","YNL319W","P","biological_process","GO:0008150","g"
"YOL137W","BSC6","P","biological_process","GO:0008150","g"
"YKL070W","YKL070W","P","biological_process","GO:0008150","g"
"YEL014C","YEL014C","P","biological_process","GO:0008150","g"
"YNL144W-A","YNL144W-A","P","biological_process","GO:0008150","g"
"YOR394W","PAU21","P","biological_process","GO:0008150","g"
"YDR274C","YDR274C","P","biological_process","GO:0008150","g"
"YJL015C","YJL015C","P","biological_process","GO:0008150","g"
"YOR280C","FSH3","P","biological_process","GO:0008150","g"
"YBR054W","YRO2","P","biological_process","GO:0008150","g"
"YCL023C","YCL023C","P","biological_process","GO:0008150","g"
"YKL050C","YKL050C","P","biological_process","GO:0008150","g"
"YBL095W","MRX3","P","biological_process","GO:0008150","g"
"YEL070W","DSF1","P","biological_process","GO:0008150","g"
"YDR441C","APT2","P","biological_process","GO:0008150","g"
"YGL081W","YGL081W","P","biological_process","GO:0008150","g"
"YBL012C","YBL012C","P","biological_process","GO:0008150","g"
"YBR226C","YBR226C","P","biological_process","GO:0008150","g"
"YEL073C","YEL073C","P","biological_process","GO:0008150","g"
"YDR396W","YDR396W","P","biological_process","GO:0008150","g"
"YBR099C","YBR099C","P","biological_process","GO:0008150","g"
"YEL008W","YEL008W","P","biological_process","GO:0008150","g"
"YNR005C","YNR005C","P","biological_process","GO:0008150","g"
"YMR233W","TRI1","P","biological_process","GO:0008150","g"
"YEL076C-A","YEL076C-A","P","biological_process","GO:0008150","g"
"YER133W-A","YER133W-A","P","biological_process","GO:0008150","g"
"YKR015C","YKR015C","P","biological_process","GO:0008150","g"
"YBR109W-A","YBR109W-A","P","biological_process","GO:0008150","g"
"YGL188C","YGL188C","P","biological_process","GO:0008150","g"
"YER137C","YER137C","P","biological_process","GO:0008150","g"
"YGR146C-A","YGR146C-A","P","biological_process","GO:0008150","g"
"YCL042W","YCL042W","P","biological_process","GO:0008150","g"
"YPL191C","YPL191C","P","biological_process","GO:0008150","g"
"YDL173W","PAR32","P","biological_process","GO:0008150","g"
"YBR196C-B","YBR196C-B","P","biological_process","GO:0008150","g"
"YHR131C","YHR131C","P","biological_process","GO:0008150","g"
"YKL047W","ANR2","P","biological_process","GO:0008150","g"
"YJL120W","YJL120W","P","biological_process","GO:0008150","g"
"YHR032W-A","YHR032W-A","P","biological_process","GO:0008150","g"
"YDL123W","SNA4","P","biological_process","GO:0008150","g"
"YEL030C-A","YEL030C-A","P","biological_process","GO:0008150","g"
"YDR032C","PST2","P","biological_process","GO:0008150","g"
"YLR149C-A","YLR149C-A","P","biological_process","GO:0008150","g"
"YER145C-A","YER145C-A","P","biological_process","GO:0008150","g"
"YDR033W","MRH1","P","biological_process","GO:0008150","g"
"YBL039W-B","YBL039W-B","P","biological_process","GO:0008150","g"
"YDR034C-A","YDR034C-A","P","biological_process","GO:0008150","g"
"YAR023C","YAR023C","P","biological_process","GO:0008150","g"
"YEL032C-A","YEL032C-A","P","biological_process","GO:0008150","g"
"YLR050C","YLR050C","P","biological_process","GO:0008150","g"
"YCR081C-A","YCR081C-A","P","biological_process","GO:0008150","g"
"YER084W-A","YER084W-A","P","biological_process","GO:0008150","g"
"YBR056C-B","YBR056C-B","P","biological_process","GO:0008150","g"
"YEL034C-A","YEL034C-A","P","biological_process","GO:0008150","g"
"YLR184W","YLR184W","P","biological_process","GO:0008150","g"
"YBL096C","YBL096C","P","biological_process","GO:0008150","g"
"YKR011C","YKR011C","P","biological_process","GO:0008150","g"
"YNL165W","YNL165W","P","biological_process","GO:0008150","g"
"YLR375W","STP3","P","biological_process","GO:0008150","g"
"YGR210C","YGR210C","P","biological_process","GO:0008150","g"
"YOR263C","YOR263C","P","biological_process","GO:0008150","g"
"YPR078C","YPR078C","P","biological_process","GO:0008150","g"
"YOR012W","YOR012W","P","biological_process","GO:0008150","g"
"YGR213C","RTA1","P","biological_process","GO:0008150","g"
"YLR154W-A","YLR154W-A","P","biological_process","GO:0008150","g"
"YJR112W-A","YJR112W-A","P","biological_process","GO:0008150","g"
"YBL100C","YBL100C","P","biological_process","GO:0008150","g"
"YAL049C","AIM2","P","biological_process","GO:0008150","g"
"YEL009C-A","YEL009C-A","P","biological_process","GO:0008150","g"
"YJR115W","YJR115W","P","biological_process","GO:0008150","g"
"YLR428C","YLR428C","P","biological_process","GO:0008150","g"
"YDR532C","KRE28","P","biological_process","GO:0008150","g"
"YIL152W","YIL152W","P","biological_process","GO:0008150","g"
"YPL119C-A","YPL119C-A","P","biological_process","GO:0008150","g"
"YKR033C","YKR033C","P","biological_process","GO:0008150","g"
"YJL135W","YJL135W","P","biological_process","GO:0008150","g"
"YBR124W","YBR124W","P","biological_process","GO:0008150","g"
"YGR168C","YGR168C","P","biological_process","GO:0008150","g"
"YOL013W-B","YOL013W-B","P","biological_process","GO:0008150","g"
"YOL014W","YOL014W","P","biological_process","GO:0008150","g"
"YIL089W","YIL089W","P","biological_process","GO:0008150","g"
"YNL140C","YNL140C","P","biological_process","GO:0008150","g"
"YBL006W-A","YBL006W-A","P","biological_process","GO:0008150","g"
"YKL018C-A","YKL018C-A","P","biological_process","GO:0008150","g"
"YDR307W","PMT7","P","biological_process","GO:0008150","g"
"YER156C","YER156C","P","biological_process","GO:0008150","g"
"YDR391C","YDR391C","P","biological_process","GO:0008150","g"
"YMR172C-A","YMR172C-A","P","biological_process","GO:0008150","g"
"YBR129C","OPY1","P","biological_process","GO:0008150","g"
"YGL102C","YGL102C","P","biological_process","GO:0008150","g"
"YKL111C","YKL111C","P","biological_process","GO:0008150","g"
"YPR114W","YPR114W","P","biological_process","GO:0008150","g"
"YHR007C-A","YHR007C-A","P","biological_process","GO:0008150","g"
"YOL035C","YOL035C","P","biological_process","GO:0008150","g"
"YBR116C","YBR116C","P","biological_process","GO:0008150","g"
"YOR108C-A","YOR108C-A","P","biological_process","GO:0008150","g"
"YNL028W","YNL028W","P","biological_process","GO:0008150","g"
"YER087C-A","YER087C-A","P","biological_process","GO:0008150","g"
"YHL026C","YHL026C","P","biological_process","GO:0008150","g"
"YLR217W","YLR217W","P","biological_process","GO:0008150","g"
"YDR525W-A","SNA2","P","biological_process","GO:0008150","g"
"YDR431W","YDR431W","P","biological_process","GO:0008150","g"
"YDR509W","YDR509W","P","biological_process","GO:0008150","g"
"YOR376W","YOR376W","P","biological_process","GO:0008150","g"
"YEL057C","SDD1","P","biological_process","GO:0008150","g"
"YHR073W-A","YHR073W-A","P","biological_process","GO:0008150","g"
"YJL197C-A","YJL197C-A","P","biological_process","GO:0008150","g"
"YFR032C","RRT5","P","biological_process","GO:0008150","g"
"YHR063W-A","YHR063W-A","P","biological_process","GO:0008150","g"
"YML079W","YML079W","P","biological_process","GO:0008150","g"
"YAL064W","YAL064W","P","biological_process","GO:0008150","g"
"YMR040W","YET2","P","biological_process","GO:0008150","g"
"YOL087C","DUF1","P","biological_process","GO:0008150","g"
"YJL201W","ECM25","P","biological_process","GO:0008150","g"
"YER038W-A","FMP49","P","biological_process","GO:0008150","g"
"YAL066W","YAL066W","P","biological_process","GO:0008150","g"
"YCR050C","YCR050C","P","biological_process","GO:0008150","g"
"YPL264C","YPL264C","P","biological_process","GO:0008150","g"
"YFR035C","YFR035C","P","biological_process","GO:0008150","g"
"YKR051W","YKR051W","P","biological_process","GO:0008150","g"
"YLL066C","YLL066C","P","biological_process","GO:0008150","g"
"YLR279W","YLR279W","P","biological_process","GO:0008150","g"
"YML133W-B","YML133W-B","P","biological_process","GO:0008150","g"
"YOR393W","ERR1","P","biological_process","GO:0008150","g"
"YDR102C","YDR102C","P","biological_process","GO:0008150","g"
"RUF5-1","RUF5-1","P","biological_process","GO:0008150","g"
"YBR284W","YBR284W","P","biological_process","GO:0008150","g"
"YKL033W-A","YKL033W-A","P","biological_process","GO:0008150","g"
"YHR210C","YHR210C","P","biological_process","GO:0008150","g"
"YJL064W","YJL064W","P","biological_process","GO:0008150","g"
"YBR016W","YBR016W","P","biological_process","GO:0008150","g"
"YDL027C","MRX9","P","biological_process","GO:0008150","g"
"YER084W","YER084W","P","biological_process","GO:0008150","g"
"YJL127C-B","YJL127C-B","P","biological_process","GO:0008150","g"
"YDR354C-A","YDR354C-A","P","biological_process","GO:0008150","g"
"YGR240C-A","YGR240C-A","P","biological_process","GO:0008150","g"
"YJL070C","YJL070C","P","biological_process","GO:0008150","g"
"YHR214W-A","YHR214W-A","P","biological_process","GO:0008150","g"
"YEL072W","RMD6","P","biological_process","GO:0008150","g"
"YBR150C","TBS1","P","biological_process","GO:0008150","g"
"YLL032C","YLL032C","P","biological_process","GO:0008150","g"
"YOL085C","YOL085C","P","biological_process","GO:0008150","g"
"YGL185C","YGL185C","P","biological_process","GO:0008150","g"
"YLR463C","YLR463C","P","biological_process","GO:0008150","g"
"YKL131W","YKL131W","P","biological_process","GO:0008150","g"
"YHR219W","YHR219W","P","biological_process","GO:0008150","g"
"YMR151W","YIM2","P","biological_process","GO:0008150","g"
"YBR025C","OLA1","P","biological_process","GO:0008150","g"
"YJL222W-B","YJL222W-B","P","biological_process","GO:0008150","g"
"YLR415C","YLR415C","P","biological_process","GO:0008150","g"
"YOR073W-A","YOR073W-A","P","biological_process","GO:0008150","g"
"YBL081W","YBL081W","P","biological_process","GO:0008150","g"
"YFR052C-A","YFR052C-A","P","biological_process","GO:0008150","g"
"YPL283W-A","YPL283W-A","P","biological_process","GO:0008150","g"
"YKR070W","YKR070W","P","biological_process","GO:0008150","g"
"YDR111C","ALT2","P","biological_process","GO:0008150","g"
"YKL091C","YKL091C","P","biological_process","GO:0008150","g"
"YBR196C-A","YBR196C-A","P","biological_process","GO:0008150","g"
"YBR296C-A","YBR296C-A","P","biological_process","GO:0008150","g"
"YCL046W","YCL046W","P","biological_process","GO:0008150","g"
"YML084W","YML084W","P","biological_process","GO:0008150","g"
"YCR054C","CTR86","P","biological_process","GO:0008150","g"
"YOL106W","YOL106W","P","biological_process","GO:0008150","g"
"YMR158C-A","YMR158C-A","P","biological_process","GO:0008150","g"
"YFR056C","YFR056C","P","biological_process","GO:0008150","g"
"YFR057W","YFR057W","P","biological_process","GO:0008150","g"
"YAR019W-A","YAR019W-A","P","biological_process","GO:0008150","g"
"YDL094C","YDL094C","P","biological_process","GO:0008150","g"
"YCL048W-A","YCL048W-A","P","biological_process","GO:0008150","g"
"YCR024C-B","YCR024C-B","P","biological_process","GO:0008150","g"
"YDR036C","EHD3","P","biological_process","GO:0008150","g"
"YNL295W","MRX6","P","biological_process","GO:0008150","g"
"YHR213W-B","YHR213W-B","P","biological_process","GO:0008150","g"
"YKL153W","YKL153W","P","biological_process","GO:0008150","g"
"YDL187C","YDL187C","P","biological_process","GO:0008150","g"
"YAR031W","PRM9","P","biological_process","GO:0008150","g"
"YAR035C-A","YAR035C-A","P","biological_process","GO:0008150","g"
"YKL142W","MRP8","P","biological_process","GO:0008150","g"
"YDL062W","YDL062W","P","biological_process","GO:0008150","g"
"YIL014C-A","YIL014C-A","P","biological_process","GO:0008150","g"
"YPR160C-A","YPR160C-A","P","biological_process","GO:0008150","g"
"YHL013C","OTU2","P","biological_process","GO:0008150","g"
"YNR077C","YNR077C","P","biological_process","GO:0008150","g"
"YBL048W","RRT1","P","biological_process","GO:0008150","g"
"YER181C","YER181C","P","biological_process","GO:0008150","g"
"YAR060C","YAR060C","P","biological_process","GO:0008150","g"
"YOR093C","CMR2","P","biological_process","GO:0008150","g"
"YGL007W","BRP1","P","biological_process","GO:0008150","g"
"YPR013C","CMR3","P","biological_process","GO:0008150","g"
"YAR068W","YAR068W","P","biological_process","GO:0008150","g"
"YHL019W-A","YHL019W-A","P","biological_process","GO:0008150","g"
"YGR164W","YGR164W","P","biological_process","GO:0008150","g"
"YBR121C-A","YBR121C-A","P","biological_process","GO:0008150","g"
"YFR023W","PES4","P","biological_process","GO:0008150","g"
"YER190C-A","YER190C-A","P","biological_process","GO:0008150","g"
"YOR252W","TMA16","P","biological_process","GO:0008150","g"
"YOR366W","YOR366W","P","biological_process","GO:0008150","g"
"YHR105W","YPT35","P","biological_process","GO:0008150","g"
"YGR021W","YGR021W","P","biological_process","GO:0008150","g"
"YOR097C","YOR097C","P","biological_process","GO:0008150","g"
"YIL055C","YIL055C","P","biological_process","GO:0008150","g"
"YMR019W","STB4","P","biological_process","GO:0008150","g"
"YNR065C","YNR065C","P","biological_process","GO:0008150","g"
"YNR063W","YNR063W","P","biological_process","GO:0008150","g"
"YOL079W","YOL079W","P","biological_process","GO:0008150","g"
"YGR025W","YGR025W","P","biological_process","GO:0008150","g"
"YGR026W","YGR026W","P","biological_process","GO:0008150","g"
"YIR036W-A","YIR036W-A","P","biological_process","GO:0008150","g"
"YLR252W","YLR252W","P","biological_process","GO:0008150","g"
"YER079C-A","YER079C-A","P","biological_process","GO:0008150","g"
"YDR003W-A","YDR003W-A","P","biological_process","GO:0008150","g"
"YML020W","YML020W","P","biological_process","GO:0008150","g"
"YCL002C","YCL002C","P","biological_process","GO:0008150","g"
"YLR419W","YLR419W","P","biological_process","GO:0008150","g"
"YLR163W-A","YLR163W-A","P","biological_process","GO:0008150","g"
"YMR173W-A","YMR173W-A","P","biological_process","GO:0008150","g"
"YBL008W-A","YBL008W-A","P","biological_process","GO:0008150","g"
"YNR075C-A","YNR075C-A","P","biological_process","GO:0008150","g"
"YGL023C","PIB2","P","biological_process","GO:0008150","g"
"YGL024W","YGL024W","P","biological_process","GO:0008150","g"
"YCL068C","YCL068C","P","biological_process","GO:0008150","g"
"YMR130W","YMR130W","P","biological_process","GO:0008150","g"
