"Gene.ID","mycOFF.mean","mycON.mean"
"ACN9",9.290292,42.7363049
"ACO1",8.88721911111111,21.6457463
"ACO2",112.843370111111,169.8893173
"ACOT1",10.6327338888889,15.0143517
"ACOT13",4.48263833333333,5.9469453
"ACOT2",29.7681085555556,41.0853706
"ACOT7",18.3742362222222,82.493197
"ACOT8",26.8719854444444,19.9949604
"ACOT9",37.360123,18.4274024
"ACOX1",8.99909822222222,4.6395802
"ACOX3",14.2473664444444,14.0677701
"ACOXL",6.12071088888889,22.8123019
"ACP1",111.403971222222,207.7255417
"ACP2",14.534107,4.5739834
"ACP5",29.3940002222222,3.7138831
"ACP6",1.44149177777778,4.3905298
"ACRC",0.410077888888889,0.5926339
"ACSBG1",0.333410222222222,0.1986767
"ACSBG2",0.587044666666667,0.3776298
"ACSF2",52.3861784444444,17.7173807
"ACSF3",19.5494322222222,25.0450144
"ACSL1",21.4475008888889,61.5481521
"ACSL3",35.4510968888889,62.0659191
"ACSL4",37.9809001111111,40.0861884
"ACSL5",82.3392283333333,50.8427371
"ACSS1",131.351515888889,82.6472362
"ACSS2",7.00657122222222,4.6369164
"ACTA2",39.039176,10.3002077
"ACTB",10460.7163628889,4182.4760254
"ACTG1",4379.42328566667,2510.3576171
"ACTL10",2.87401422222222,3.4569357
"ACTL6A",40.1932748888889,98.6728829
"ACTN1",1.949612,8.7648517
"ACTN4",135.104785666667,101.0979729
"ACTR10",37.7969754444444,30.6664798
"ACTR1A",80.7212702222222,53.6247075
"ACTR1B",28.2536713333333,35.7612194
"ACTR2",700.048468666667,304.6737581
"ACTR3",265.036877222222,120.6937508
"ACTR3B",5.15102611111111,24.5321755
"ACTR3C",2.55841755555556,2.7984149
"ACTR5",7.23422177777778,12.3735563
"ACTR6",25.5425606666667,33.886465
"ACTR8",33.5411684444444,20.1885083
"ACTRT3",0.303924,0.6028363
"ACVR1B",9.63813733333333,10.2042709
"ACVR2A",5.46078033333333,3.1325471
"ACVR2B",3.14028088888889,6.6643556
"ACVR2B-AS1",0.420280444444444,1.7539122
"ACY3",44.5695028888889,5.3200636
"ACYP1",15.2002322222222,31.8756437
"ACYP2",35.5592044444444,14.169954
"AD000090.2",10.8862053333333,31.4120649
"ADA",27.923217,45.7811884
"ADAL",10.3055288888889,8.3764955
"ADAM10",81.9800458888889,41.5514075
"ADAM11",3.18006711111111,1.5316787
"ADAM15",8.34573777777778,32.5623012
"ADAM17",85.3795054444444,34.4489523
"ADAM19",37.0592468888889,22.5526656
"ADAM1A",4.35572622222222,7.0574572
"ADAM22",0.0950813333333333,0.1518984
"ADAM8",105.070737,11.5779795
"ADAM9",23.8259003333333,31.1464021
"ADAMTS10",11.6716494444444,9.5233888
"ADAMTS13",3.70434688888889,1.1299305
"ADAMTS6",6.17480211111111,1.1175866
"ADAMTSL2",0.892957,0.9952118
"ADAMTSL4",0.295705222222222,0.0440697
"ADAMTSL5",7.69198177777778,1.7183592
"ADAP1",27.815943,21.4066029
"ADAP2",11.572178,7.0156577
"ADAR",465.455474888889,198.7683121
"ADARB1",0.917668444444444,0.5084394
"ADAT1",18.9170846666667,9.3057243
"ADAT2",1.65753577777778,11.7579158
"ADAT3",7.36826444444444,5.6333726
"ADC",7.38310811111111,7.959287
"ADCK1",11.0395582222222,8.4236449
"ADCK2",10.5016422222222,20.4904117
"ADCK3",19.4835766666667,80.7341461
"ADCK4",18.2976686666667,16.2888361
"ADCK5",20.672729,12.0318916
"ADCY3",4.34234977777778,38.6201433
"ADCY6",2.48959877777778,0.2023295
"ADCY7",53.7508684444444,20.1435056
"ADCY9",12.9836144444444,10.4245699
"ADD1",340.234083333333,72.9309823
"ADD2",38.3533051111111,22.1250945
"ADD3",292.041137666667,76.1945838
"ADH5",78.2715861111111,82.7351107
"ADH6",0.52738,0.1747759
"ADI1",30.902863,64.4072798
"ADIPOR1",78.6643455555556,74.8514069
"ADIPOR2",41.1081364444444,49.4561297
"ADK",56.0569501111111,60.2251179
"ADM",0.716922666666667,0.3427845
"ADM2",0.427885222222222,0.6374366
"ADM5",1.98632644444444,6.4215974
"ADNP",49.2836855555556,51.6992108
"ADNP2",29.0168062222222,29.1361896
"ADO",44.2986553333333,32.1275346
"ADORA2A",186.351281111111,67.4740889
"ADORA2A-AS1",11.4513521111111,2.4964641
"ADORA2B",0.460410111111111,3.791636
"ADPGK",125.611133111111,103.2047394
"ADPGK-AS1",1.52345144444444,0.4827829
"ADPRH",4.92883033333333,1.2468378
"ADPRHL1",3.17964144444444,3.3208167
"ADPRHL2",62.3681388888889,53.729601
"ADPRM",32.9791661111111,15.3888175
"ADRB1",3.33717433333333,0.3664837
"ADRB2",7.94162788888889,4.4588759
"ADRBK1",179.015421555556,123.3235009
"ADRBK2",54.946741,15.9833172
"ADRM1",99.2876628888889,130.7177163
"ADSL",68.7251438888889,222.7389892
